adduser	3.152
rpcsvc-proto	1.4.3-1+b1
rsync	3.4.1+ds1-5+deb13u4
runc	1.1.15+ds1-2+b4
runit-helper	2.16.4
screen	4.9.1-3
sed	4.9-2+deb13u1
sensible-utils	0.0.25
sgml-base	1.31+nmu1
shim-helpers-arm64-signed	1+16.1+2~deb13u1
shim-signed:arm64	1.51~1+deb13u1+16.1-2~deb13u1
shim-signed-common	1.51~1+deb13u1+16.1-2~deb13u1
shim-unsigned:arm64	16.1-2~deb13u1
socat	1.8.0.3-1
sqv	1.3.0-3+b2
ssh-import-id	5.10-3
sudo	1.9.16p2-3+deb13u2
systemd	257.13-1~deb13u1
systemd-resolved	257.13-1~deb13u1
systemd-sysv	257.13-1~deb13u1
systemd-timesyncd	257.13-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tcpdump	4.99.5-2
tini	0.19.0-3+b7
traceroute	1:2.1.6-1
tzdata	2026b-0+deb13u1
ucf	3.0052
udev	257.13-1~deb13u1
unattended-upgrades	2.12
util-linux	2.41-5
uuid-runtime	2.41-5
vim	2:9.1.1230-2
vim-common	2:9.1.1230-2
vim-runtime	2:9.1.1230-2
vim-tiny	2:9.1.1230-2
wget	1.25.0-2
whiptail	0.52.25-1
xml-core	0.19
xz-utils	5.8.1-1+deb13u1
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1
zstd	1.5.7+dfsg-1
